datetime,current_speed,current_dir,wind_speed,wind_dir,interaction,enhancement,flow_direction
2025-06-18 15:51:07.481935,0.5182853771660336,75.60951257220113,18,60,"{'angle_difference': 15.609512572201126, 'interaction_type': 'current_into_wind', 'wave_enhancement': 'maximum', 'optimal_for_standing_waves': True}",maximum,sunset_to_turtle_bay
2025-06-19 15:51:07.481935,0.5182853771660336,75.60951257220113,18,60,"{'angle_difference': 15.609512572201126, 'interaction_type': 'current_into_wind', 'wave_enhancement': 'maximum', 'optimal_for_standing_waves': True}",maximum,sunset_to_turtle_bay
2025-06-20 15:51:07.481935,0.5182853771660336,75.60951257220113,18,60,"{'angle_difference': 15.609512572201126, 'interaction_type': 'current_into_wind', 'wave_enhancement': 'maximum', 'optimal_for_standing_waves': True}",maximum,sunset_to_turtle_bay
2025-06-21 15:51:07.481935,0.5182853771660336,75.60951257220113,18,60,"{'angle_difference': 15.609512572201126, 'interaction_type': 'current_into_wind', 'wave_enhancement': 'maximum', 'optimal_for_standing_waves': True}",maximum,sunset_to_turtle_bay
2025-06-22 15:51:07.481935,0.5182853771660336,75.60951257220113,18,60,"{'angle_difference': 15.609512572201126, 'interaction_type': 'current_into_wind', 'wave_enhancement': 'maximum', 'optimal_for_standing_waves': True}",maximum,sunset_to_turtle_bay
2025-06-23 15:51:07.481935,0.5182853771660336,75.60951257220113,18,60,"{'angle_difference': 15.609512572201126, 'interaction_type': 'current_into_wind', 'wave_enhancement': 'maximum', 'optimal_for_standing_waves': True}",maximum,sunset_to_turtle_bay
2025-06-24 15:51:07.481935,0.5182853771660336,75.60951257220113,18,60,"{'angle_difference': 15.609512572201126, 'interaction_type': 'current_into_wind', 'wave_enhancement': 'maximum', 'optimal_for_standing_waves': True}",maximum,sunset_to_turtle_bay
2025-06-25 15:51:07.481935,0.5182853771660336,75.60951257220113,18,60,"{'angle_difference': 15.609512572201126, 'interaction_type': 'current_into_wind', 'wave_enhancement': 'maximum', 'optimal_for_standing_waves': True}",maximum,sunset_to_turtle_bay
2025-06-26 15:51:07.481935,0.5182853771660336,75.60951257220113,18,60,"{'angle_difference': 15.609512572201126, 'interaction_type': 'current_into_wind', 'wave_enhancement': 'maximum', 'optimal_for_standing_waves': True}",maximum,sunset_to_turtle_bay
2025-06-27 15:51:07.481935,0.5182853771660336,75.60951257220113,18,60,"{'angle_difference': 15.609512572201126, 'interaction_type': 'current_into_wind', 'wave_enhancement': 'maximum', 'optimal_for_standing_waves': True}",maximum,sunset_to_turtle_bay
